,Year,Month,Day,Sentiment,Count
1,2020,1,22,negative,14493
2,2020,1,22,neutral,20061
3,2020,1,22,positive,1779
4,2020,1,23,negative,99275
5,2020,1,23,neutral,97048
6,2020,1,23,positive,7367
7,2020,1,24,negative,233430
8,2020,1,24,neutral,305404
9,2020,1,24,positive,29652
10,2020,1,25,negative,376001
11,2020,1,25,neutral,445823
12,2020,1,25,positive,34265
13,2020,1,26,negative,489539
14,2020,1,26,neutral,616673
15,2020,1,26,positive,31525
16,2020,1,27,negative,451737
17,2020,1,27,neutral,394150
18,2020,1,27,positive,25199
19,2020,1,28,negative,323282
20,2020,1,28,neutral,404091
21,2020,1,28,positive,38621
22,2020,1,29,negative,611369
23,2020,1,29,neutral,557347
24,2020,1,29,positive,55809
25,2020,1,30,negative,695855
26,2020,1,30,neutral,777769
27,2020,1,30,positive,87863
28,2020,1,31,negative,641326
29,2020,1,31,neutral,672792
30,2020,1,31,positive,79468
31,2020,2,1,negative,232297
32,2020,2,1,neutral,222222
33,2020,2,1,positive,32381
34,2020,2,2,negative,240679
35,2020,2,2,neutral,237507
36,2020,2,2,positive,30816
37,2020,2,3,negative,213258
38,2020,2,3,neutral,241663
39,2020,2,3,positive,40125
40,2020,2,4,negative,247566
41,2020,2,4,neutral,271905
42,2020,2,4,positive,38926
43,2020,2,5,negative,208970
44,2020,2,5,neutral,240624
45,2020,2,5,positive,57546
46,2020,2,6,negative,250610
47,2020,2,6,neutral,255327
48,2020,2,6,positive,37426
49,2020,2,7,negative,229263
50,2020,2,7,neutral,257809
51,2020,2,7,positive,36644
52,2020,2,8,negative,227907
53,2020,2,8,neutral,265138
54,2020,2,8,positive,28605
55,2020,2,9,negative,237402
56,2020,2,9,neutral,236690
57,2020,2,9,positive,34696
58,2020,2,10,negative,252091
59,2020,2,10,neutral,288628
60,2020,2,10,positive,36933
61,2020,2,11,negative,265597
62,2020,2,11,neutral,287552
63,2020,2,11,positive,35732
64,2020,2,12,negative,265132
65,2020,2,12,neutral,247959
66,2020,2,12,positive,29933
67,2020,2,13,negative,279354
68,2020,2,13,neutral,293838
69,2020,2,13,positive,34886
70,2020,2,14,negative,237906
71,2020,2,14,neutral,296307
72,2020,2,14,positive,42630
73,2020,2,15,negative,195450
74,2020,2,15,neutral,224167
75,2020,2,15,positive,34077
76,2020,2,16,negative,183989
77,2020,2,16,neutral,274185
78,2020,2,16,positive,28558
79,2020,2,17,negative,221875
80,2020,2,17,neutral,270014
81,2020,2,17,positive,36403
82,2020,2,18,negative,255794
83,2020,2,18,neutral,266731
84,2020,2,18,positive,37461
85,2020,2,19,negative,240426
86,2020,2,19,neutral,228009
87,2020,2,19,positive,36651
88,2020,2,20,negative,226431
89,2020,2,20,neutral,246110
90,2020,2,20,positive,46114
91,2020,2,21,negative,247143
92,2020,2,21,neutral,253786
93,2020,2,21,positive,32103
94,2020,2,22,negative,201977
95,2020,2,22,neutral,207869
96,2020,2,22,positive,24620
97,2020,2,23,negative,37344
98,2020,2,23,neutral,35596
99,2020,2,23,positive,3131
100,2020,2,24,negative,179492
101,2020,2,24,neutral,208871
102,2020,2,24,positive,29894
103,2020,2,25,negative,225189
104,2020,2,25,neutral,229143
105,2020,2,25,positive,25411
106,2020,2,26,negative,246548
107,2020,2,26,neutral,249014
108,2020,2,26,positive,36828
109,2020,2,27,negative,323744
110,2020,2,27,neutral,308442
111,2020,2,27,positive,38060
